1,Acer Aspire 5,"Reliable everyday laptop with a balance of design, performance, and features",999,NULL,0,/images/1/Acer-Aspire5.png
2,Acer Swift 3,Ultra-portable laptop with sleek design and powerful processing,1299,NULL,50,/images/2/Acer-Swift3.png
3,Acer Nitro 5,Popular gaming laptop with strong performance at a budget-friendly price,649.99,NULL,30,/images/3/Acer-Nitro5.png
4,Acer Predator Helios 300,High-performance gaming laptop with advanced cooling and powerful graphics,349.99,NULL,100,/images/4/Acer-PredatorHelios300.png
5,Acer Chromebook Spin 311,Versatile 2-in-1 Chromebook ideal for students and mobile professionals,449.99,NULL,100,/images/5/Acer-ChromebookSpin.png
6,Acer Spin 5,Convertible laptop with touchscreen display and robust performance for productivity,559.99,NULL,80,/images/6/Acer-Spin5.png
7,Acer ConceptD 3 Ezel,Convertible workstation for creatives with focus on design and power,629.99,NULL,80,/images/7/Acer-ConceptD3Ezel.png
8,Acer Enduro N3,Rugged laptop designed for durability and performance in tough environments,399.99,NULL,90,/images/8/Acer-EnduroN3.png
9,Acer TravelMate P6,Business laptop with robust security features and long battery life,499.99,NULL,90,/images/9/Acer-Travelmatep6.png
10,Inspiron 15 3000,Affordable everyday laptop with latest Intel or AMD processors,349.99,NULL,100,/images/10/Dell-Inspiron15-3000.png
11,Inspiron 14 5000,Compact laptop with versatile features for entertainment,449.99,NULL,100,/images/11/Dell-Inspiron14-5000.png
12,Dell XPS 13,Premium ultrabook with high resolution display,899.99,NULL,50,/images/12/Dell-XPS13.png
13,Dell G15 Gaming Laptop,Affordable gaming laptop with dedicated graphics,799.99,NULL,75,/images/13/Dell-G15GamingLaptop.png
14,Inspiron 24 5000 All-In-One,Space-saving all-in-one computer with touchscreen,649.99,NULL,50,/images/14/Dell-Inspiron24-5000.png
15,Inspiron Gaming Desktop,Versatile desktop for home computing,499.99,NULL,100,/images/15/Dell-InspirionGamingDesktop.png
16,Dell XPS Desktop,Powerful desktop PC for demanding applications,999.99,NULL,50,/images/16/Dell-XPSDesktop.png
17,Vostro 5890 Desktop,Small business desktop with commercial-grade performance,549.99,NULL,75,/images/17/Dell-Vostro5890.png
18,Alienware Aurora R12 Gaming Desktop,High-end gaming desktop with innovative cooling,1899.99,NULL,25,/images/18/Dell-AlienwareAuroraR12.png
19,HP Pavilion x360,Convertible laptop with a 360-degree hinge for versatile use,559.99,NULL,80,/images/19/HP-PavilionX360.png
20,HP 15t-dy200,Reliable laptop with long battery life for everyday tasks,629.99,NULL,80,/images/20/HP-15t-dy200.png
21,HP Chromebook 14,Affordable Chromebook perfect for students and everyday tasks,249.99,NULL,100,/images/21/HP-Chromebook14.png
22,HP Envy x360 15,Stylish and powerful 2-in-1 laptop with a full HD touchscreen,749.99,NULL,60,/images/22/HP-EnvyX360.png
23,HP 24 All-in-One PC,All-in-one PC with integrated monitor for easy setup and use,799.99,NULL,50,/images/23/HP-24Allin.png
24,HP Pavilion TP01 Desktop,Traditional desktop computer with multiple storage options,449.99,NULL,75,/images/24/HP-PavilionTP01Desktop.png
25,HP Slim Desktop S01-pF1048xt,Compact desktop PC that fits easily into any space,399.99,NULL,100,/images/25/HP-SlimDesktops01.png
26,HP ProDesk 400 G6 Desktop Mini PC,Small form factor desktop with professional performance,589.99,NULL,60,/images/26/HP-ProDesk400.png
27,HP EliteDesk 800 G5 Desktop Mini,High-performance mini desktop for business professionals,849.99,NULL,40,/images/27/HP-EliteDesk800.png
28,Lenovo IdeaPad 3,Budget-friendly laptop for students and professionals,399.99,NULL,90,/images/28/Lenovo-IdeaPad3.png
29,Lenovo Flex 5,Flexible 2-in-1 laptop with touchscreen for productivity and creativity,599.99,NULL,90,/images/29/Lenovo-Flex5.png
30,Lenovo ThinkBook 14s Yoga,Sleek 2-in-1 business laptop with a garaged pen,749.99,NULL,60,/images/30/Lenovo-ThinkBook14sYoga.png
31,Lenovo Legion 5,Gaming laptop with superior gaming performance and cooling,999.99,NULL,70,/images/31/Lenovo-Legion5.png
32,Lenovo IdeaCentre AIO 3,Stylish all-in-one desktop with ample screen space,549.99,NULL,80,/images/32/Lenovo-IdeaCentreALI3.png
33,Lenovo ThinkCentre M75q Tiny,Tiny desktop PC that provides powerful computing in a small footprint,499.99,NULL,100,/images/33/Lenovo-ThinkCentreM75q.png
34,Lenovo Yoga 7i,Versatile 2-in-1 laptop with the convenience of a tablet and the power of a laptop,849.99,NULL,75,/images/34/Lenovo-Yoga7i.png
35,Lenovo ThinkPad E14,Reliable and durable business laptop with powerful processing,779.99,NULL,50,/images/35/Lenovo-ThinkPade14.png
36,Lenovo IdeaPad Gaming 3,Affordable gaming laptop that delivers a powerful multi-media experience,649.99,NULL,30,/images/36/Lenovo-IdeaPad3Gaming.png
